predict,original
sad,neutral
sad,happy
sad,sad
sad,neutral
sad,happy
sad,angry
sad,happy
sad,neutral
sad,angry
sad,sad
sad,happy
happy,angry
sad,neutral
sad,sad
sad,happy
sad,neutral
sad,happy
sad,happy
sad,happy
sad,sad
sad,sad
sad,neutral
sad,angry
sad,angry
sad,angry
sad,angry
happy,neutral
sad,sad
sad,angry
sad,happy
sad,sad
sad,angry
happy,neutral
sad,happy
sad,neutral
sad,sad
sad,angry
sad,happy
sad,sad
sad,angry
sad,neutral
sad,angry
sad,happy
sad,angry
sad,angry
sad,happy
sad,happy
sad,sad
sad,happy
sad,happy
sad,sad
sad,neutral
sad,neutral
sad,angry
happy,angry
sad,neutral
sad,sad
sad,sad
sad,happy
sad,neutral
sad,sad
sad,happy
sad,angry
sad,sad
sad,angry
sad,neutral
sad,neutral
sad,angry
sad,happy
sad,neutral
sad,angry
sad,sad
sad,neutral
sad,sad
sad,sad
sad,angry
sad,neutral
sad,happy
neutral,happy
sad,neutral
sad,sad
sad,sad
sad,angry
happy,neutral
sad,sad
sad,angry
sad,happy
sad,sad
sad,neutral
