predict,original
angry,neutral
happy,happy
happy,sad
neutral,sad
happy,happy
happy,sad
neutral,sad
angry,angry
angry,happy
neutral,neutral
neutral,angry
angry,neutral
neutral,sad
angry,happy
sad,sad
angry,neutral
angry,neutral
sad,happy
sad,sad
angry,angry
angry,sad
neutral,sad
happy,neutral
angry,angry
angry,angry
angry,sad
angry,angry
neutral,happy
sad,neutral
angry,neutral
happy,sad
sad,sad
sad,angry
angry,angry
neutral,neutral
angry,neutral
neutral,happy
neutral,sad
angry,angry
angry,neutral
neutral,neutral
happy,sad
angry,angry
neutral,angry
angry,angry
neutral,happy
happy,angry
sad,happy
happy,happy
neutral,neutral
happy,sad
neutral,neutral
neutral,neutral
angry,angry
angry,happy
happy,happy
sad,sad
angry,neutral
neutral,neutral
neutral,sad
happy,neutral
happy,happy
happy,happy
happy,sad
neutral,neutral
angry,angry
sad,angry
sad,sad
happy,sad
sad,angry
happy,angry
neutral,angry
sad,neutral
happy,happy
neutral,angry
happy,happy
angry,neutral
happy,happy
happy,angry
happy,happy
sad,angry
happy,neutral
angry,happy
neutral,sad
sad,happy
neutral,happy
happy,happy
angry,angry
neutral,sad
