predict,original
happy,happy
angry,angry
angry,angry
happy,happy
neutral,neutral
angry,angry
sad,sad
happy,happy
angry,angry
happy,happy
angry,angry
neutral,neutral
happy,happy
angry,angry
sad,sad
sad,sad
happy,angry
sad,sad
neutral,happy
sad,sad
angry,angry
angry,angry
neutral,happy
angry,angry
angry,neutral
happy,happy
neutral,neutral
sad,sad
neutral,angry
sad,sad
angry,neutral
sad,sad
angry,angry
angry,angry
sad,sad
sad,sad
neutral,neutral
happy,angry
angry,angry
happy,sad
sad,sad
neutral,neutral
neutral,neutral
angry,angry
sad,sad
angry,angry
happy,happy
happy,happy
happy,happy
angry,happy
happy,sad
angry,neutral
neutral,happy
neutral,happy
angry,angry
neutral,neutral
happy,happy
happy,happy
neutral,neutral
angry,angry
angry,angry
angry,angry
happy,sad
angry,angry
sad,sad
angry,angry
happy,happy
neutral,neutral
happy,happy
sad,sad
happy,happy
angry,neutral
angry,angry
angry,angry
angry,angry
angry,angry
happy,happy
happy,happy
angry,angry
happy,neutral
neutral,neutral
angry,happy
happy,happy
neutral,happy
sad,sad
happy,happy
happy,happy
happy,happy
sad,sad
angry,sad
neutral,sad
neutral,neutral
neutral,sad
sad,angry
happy,happy
happy,happy
angry,neutral
neutral,neutral
neutral,neutral
happy,happy
angry,sad
neutral,neutral
neutral,neutral
angry,happy
neutral,happy
happy,happy
happy,sad
angry,angry
happy,happy
sad,sad
angry,angry
happy,sad
neutral,neutral
sad,sad
sad,sad
angry,angry
angry,neutral
angry,sad
neutral,neutral
sad,sad
sad,sad
sad,sad
happy,happy
angry,angry
neutral,happy
neutral,neutral
sad,sad
angry,angry
angry,happy
happy,happy
happy,happy
sad,sad
angry,neutral
sad,sad
happy,sad
angry,angry
sad,sad
angry,angry
sad,sad
neutral,happy
sad,sad
angry,angry
angry,angry
angry,angry
sad,sad
happy,happy
happy,happy
angry,happy
angry,angry
angry,angry
happy,sad
angry,angry
sad,sad
angry,angry
angry,neutral
angry,neutral
sad,neutral
happy,happy
neutral,neutral
happy,happy
happy,happy
angry,angry
sad,sad
happy,happy
happy,neutral
sad,sad
sad,sad
happy,happy
angry,angry
happy,happy
neutral,neutral
angry,neutral
sad,sad
happy,happy
neutral,neutral
angry,angry
happy,sad
neutral,neutral
neutral,neutral
angry,angry
angry,angry
happy,angry
angry,happy
neutral,sad
neutral,neutral
sad,sad
angry,neutral
happy,happy
angry,angry
happy,happy
angry,angry
angry,angry
happy,happy
sad,sad
neutral,neutral
happy,happy
neutral,neutral
sad,sad
angry,neutral
angry,angry
angry,neutral
happy,neutral
angry,neutral
sad,sad
happy,sad
sad,sad
neutral,neutral
neutral,sad
angry,angry
angry,neutral
angry,angry
angry,angry
angry,neutral
angry,angry
happy,happy
sad,sad
happy,happy
happy,happy
neutral,neutral
angry,angry
angry,angry
neutral,neutral
sad,sad
neutral,neutral
happy,sad
angry,angry
happy,happy
angry,neutral
happy,happy
angry,angry
angry,angry
angry,angry
angry,happy
angry,neutral
angry,angry
sad,sad
neutral,neutral
happy,happy
angry,angry
happy,happy
sad,sad
angry,angry
sad,sad
angry,happy
angry,sad
angry,sad
sad,sad
happy,happy
neutral,neutral
happy,happy
sad,sad
neutral,neutral
happy,happy
happy,happy
neutral,sad
angry,angry
happy,happy
happy,happy
sad,sad
neutral,neutral
sad,sad
sad,sad
angry,neutral
angry,angry
angry,angry
neutral,neutral
neutral,sad
neutral,angry
happy,neutral
angry,angry
angry,angry
neutral,neutral
sad,sad
angry,angry
angry,angry
neutral,neutral
angry,angry
happy,happy
neutral,neutral
neutral,neutral
happy,sad
angry,angry
angry,neutral
angry,angry
neutral,happy
angry,neutral
happy,happy
happy,sad
angry,angry
