predict,original
angry,angry
sad,angry
neutral,angry
sad,neutral
sad,neutral
sad,happy
sad,neutral
neutral,happy
sad,sad
sad,neutral
neutral,sad
sad,sad
happy,happy
neutral,happy
angry,neutral
neutral,neutral
angry,neutral
neutral,neutral
sad,neutral
neutral,happy
happy,angry
sad,angry
sad,sad
sad,sad
neutral,neutral
happy,happy
happy,happy
angry,neutral
sad,angry
sad,happy
sad,happy
neutral,sad
neutral,sad
sad,neutral
sad,angry
sad,happy
sad,happy
neutral,neutral
neutral,angry
neutral,happy
neutral,happy
neutral,sad
sad,sad
happy,happy
sad,sad
happy,angry
sad,sad
angry,happy
sad,angry
angry,angry
sad,happy
sad,happy
sad,angry
angry,sad
neutral,sad
neutral,happy
neutral,angry
happy,neutral
sad,sad
angry,angry
sad,sad
neutral,angry
neutral,sad
neutral,sad
neutral,sad
neutral,happy
angry,angry
neutral,neutral
sad,happy
angry,angry
happy,angry
neutral,angry
neutral,neutral
sad,neutral
happy,happy
neutral,angry
angry,sad
sad,sad
neutral,neutral
sad,neutral
sad,neutral
neutral,sad
sad,sad
angry,angry
happy,neutral
happy,happy
neutral,angry
neutral,angry
neutral,neutral
