predict,original
neutral,neutral
neutral,neutral
sad,sad
sad,sad
angry,angry
happy,happy
happy,sad
neutral,neutral
sad,sad
angry,angry
sad,neutral
sad,angry
neutral,neutral
sad,sad
sad,sad
happy,happy
happy,happy
angry,angry
neutral,neutral
neutral,neutral
neutral,neutral
neutral,happy
angry,angry
happy,happy
angry,angry
angry,angry
neutral,neutral
angry,angry
sad,sad
neutral,happy
angry,angry
happy,happy
angry,angry
neutral,neutral
happy,happy
angry,angry
neutral,neutral
happy,happy
happy,happy
angry,angry
neutral,angry
neutral,neutral
angry,angry
happy,happy
happy,happy
angry,angry
angry,angry
happy,happy
neutral,angry
happy,happy
angry,angry
angry,neutral
angry,angry
happy,happy
happy,happy
neutral,neutral
happy,happy
happy,sad
angry,angry
sad,sad
angry,neutral
happy,happy
sad,neutral
neutral,neutral
happy,happy
sad,happy
happy,neutral
sad,sad
angry,angry
happy,happy
sad,sad
neutral,neutral
happy,angry
angry,neutral
neutral,happy
neutral,neutral
neutral,neutral
neutral,happy
sad,sad
happy,happy
neutral,neutral
angry,sad
happy,happy
neutral,neutral
happy,happy
sad,angry
sad,neutral
neutral,neutral
neutral,happy
happy,happy
angry,neutral
sad,sad
sad,sad
happy,happy
happy,happy
angry,angry
neutral,neutral
neutral,neutral
neutral,happy
angry,angry
happy,happy
angry,neutral
happy,sad
angry,neutral
sad,sad
sad,sad
angry,angry
happy,happy
neutral,happy
neutral,neutral
angry,angry
angry,angry
happy,happy
sad,sad
happy,happy
happy,sad
happy,happy
neutral,angry
angry,angry
angry,angry
neutral,happy
happy,happy
sad,sad
neutral,happy
sad,sad
neutral,happy
sad,sad
sad,sad
neutral,neutral
happy,happy
neutral,happy
neutral,angry
happy,happy
happy,happy
happy,happy
angry,angry
happy,happy
sad,happy
neutral,neutral
happy,happy
happy,happy
happy,happy
neutral,angry
happy,neutral
happy,neutral
happy,happy
happy,happy
angry,happy
neutral,sad
neutral,neutral
neutral,neutral
sad,sad
sad,sad
neutral,neutral
sad,sad
sad,sad
angry,angry
neutral,neutral
happy,happy
angry,angry
angry,neutral
sad,happy
neutral,angry
happy,happy
sad,angry
sad,angry
sad,sad
happy,happy
neutral,neutral
neutral,neutral
neutral,happy
angry,sad
angry,angry
sad,sad
sad,sad
sad,happy
neutral,neutral
sad,sad
angry,angry
angry,happy
happy,angry
neutral,happy
happy,happy
happy,happy
neutral,neutral
neutral,angry
neutral,neutral
happy,happy
happy,happy
neutral,neutral
neutral,neutral
sad,sad
happy,happy
happy,happy
sad,happy
angry,angry
angry,neutral
happy,happy
angry,angry
happy,sad
sad,sad
neutral,neutral
sad,sad
happy,happy
angry,angry
happy,happy
neutral,angry
sad,angry
happy,happy
happy,happy
happy,happy
happy,neutral
angry,angry
neutral,happy
happy,neutral
sad,sad
angry,angry
sad,sad
happy,happy
neutral,happy
neutral,happy
neutral,neutral
angry,angry
sad,sad
sad,happy
neutral,angry
happy,happy
happy,sad
sad,sad
sad,happy
sad,sad
happy,happy
sad,sad
happy,happy
neutral,neutral
happy,angry
neutral,neutral
sad,sad
sad,sad
angry,neutral
angry,angry
angry,angry
happy,happy
neutral,neutral
happy,happy
happy,happy
sad,sad
neutral,neutral
angry,neutral
angry,sad
sad,sad
sad,sad
neutral,angry
happy,neutral
sad,neutral
angry,happy
angry,happy
sad,sad
neutral,neutral
angry,neutral
neutral,neutral
happy,happy
neutral,neutral
happy,happy
angry,angry
sad,sad
neutral,angry
sad,sad
happy,happy
happy,happy
angry,angry
neutral,neutral
happy,happy
sad,angry
neutral,angry
sad,sad
happy,angry
angry,angry
neutral,neutral
sad,sad
neutral,neutral
angry,angry
angry,happy
neutral,neutral
neutral,neutral
happy,happy
neutral,happy
angry,angry
neutral,neutral
