predict,original
angry,sad
neutral,angry
sad,happy
neutral,sad
neutral,neutral
neutral,angry
happy,neutral
neutral,neutral
happy,happy
neutral,happy
neutral,angry
neutral,happy
happy,sad
happy,happy
happy,neutral
angry,angry
angry,angry
happy,happy
neutral,happy
neutral,happy
sad,neutral
happy,happy
neutral,angry
happy,angry
happy,neutral
neutral,angry
angry,angry
sad,happy
neutral,neutral
happy,sad
angry,angry
neutral,sad
angry,sad
happy,sad
happy,happy
happy,sad
neutral,neutral
happy,happy
sad,neutral
angry,neutral
happy,happy
happy,sad
happy,neutral
happy,neutral
happy,neutral
angry,happy
angry,neutral
angry,angry
angry,neutral
sad,neutral
happy,happy
neutral,angry
angry,angry
angry,angry
happy,sad
neutral,sad
happy,happy
sad,neutral
angry,angry
happy,sad
happy,sad
happy,happy
neutral,neutral
neutral,sad
happy,angry
happy,sad
happy,happy
angry,sad
happy,neutral
angry,sad
happy,angry
neutral,angry
happy,happy
happy,happy
happy,angry
neutral,happy
happy,happy
angry,neutral
neutral,sad
happy,angry
sad,angry
neutral,angry
neutral,neutral
happy,sad
neutral,angry
sad,sad
neutral,sad
neutral,sad
angry,neutral
