predict,original
sad,angry
happy,happy
angry,neutral
happy,angry
neutral,happy
happy,angry
happy,sad
neutral,neutral
neutral,neutral
neutral,happy
neutral,neutral
neutral,happy
neutral,neutral
happy,neutral
sad,neutral
neutral,sad
sad,sad
angry,angry
neutral,angry
neutral,angry
happy,sad
happy,neutral
happy,neutral
neutral,happy
sad,sad
neutral,sad
happy,sad
happy,happy
sad,sad
angry,happy
happy,neutral
happy,sad
happy,sad
neutral,angry
neutral,sad
happy,sad
sad,happy
angry,happy
neutral,happy
sad,neutral
happy,happy
angry,angry
neutral,angry
neutral,angry
happy,sad
neutral,neutral
happy,sad
happy,angry
happy,angry
happy,angry
angry,angry
happy,sad
neutral,happy
happy,angry
happy,sad
neutral,happy
neutral,neutral
neutral,angry
sad,angry
neutral,angry
happy,angry
happy,happy
neutral,happy
angry,sad
neutral,happy
happy,sad
neutral,angry
sad,happy
angry,neutral
happy,happy
neutral,angry
angry,neutral
neutral,neutral
sad,sad
happy,neutral
angry,neutral
neutral,happy
happy,happy
happy,neutral
sad,neutral
sad,sad
happy,sad
neutral,angry
happy,neutral
neutral,happy
happy,happy
neutral,neutral
sad,sad
angry,angry
